task_id,horizon,agent_type,attempt,success,steps_taken,failure_type,strategies_used,elapsed_s,label
fs_organize,8,react,0,False,5,other,0,22.17,ReAct
fs_nested,8,react,0,False,4,other,0,28.41,ReAct
fs_backup_clean,8,react,0,False,6,other,0,72.3,ReAct
fs_dedup_archive,8,react,0,True,7,,0,83.54,ReAct
db_create_insert,8,react,0,True,8,,0,96.08,ReAct
db_alter,8,react,0,True,7,,0,84.22,ReAct
db_join_agg,8,react,0,False,8,repeated_action,0,98.23,ReAct
db_filter_summarize,8,react,0,True,8,,0,94.46,ReAct
fs_organize,8,react,1,False,6,tool_misuse,0,72.2,ReAct
fs_nested,8,react,1,False,4,other,0,46.93,ReAct
fs_backup_clean,8,react,1,True,8,,0,94.85,ReAct
fs_dedup_archive,8,react,1,True,8,,0,97.28,ReAct
db_create_insert,8,react,1,True,8,,0,94.92,ReAct
db_alter,8,react,1,True,7,,0,84.58,ReAct
db_join_agg,8,react,1,False,8,repeated_action,0,99.62,ReAct
db_filter_summarize,8,react,1,True,6,,0,68.27,ReAct
fs_organize,8,react,2,True,8,,0,95.52,ReAct
fs_nested,8,react,2,False,6,repeated_action,0,72.79,ReAct
fs_backup_clean,8,react,2,True,8,,0,95.72,ReAct
fs_dedup_archive,8,react,2,True,7,,0,84.78,ReAct
db_create_insert,8,react,2,False,8,repeated_action,0,95.44,ReAct
db_alter,8,react,2,True,7,,0,83.76,ReAct
db_join_agg,8,react,2,False,8,repeated_action,0,99.11,ReAct
db_filter_summarize,8,react,2,True,6,,0,68.8,ReAct
fs_organize,8,react,3,False,3,other,0,36.58,ReAct
fs_nested,8,react,3,False,8,repeated_action,0,96.72,ReAct
fs_backup_clean,8,react,3,True,8,,0,94.19,ReAct
fs_dedup_archive,8,react,3,True,8,,0,97.02,ReAct
db_create_insert,8,react,3,False,8,other,0,95.58,ReAct
db_alter,8,react,3,True,8,,0,96.29,ReAct
db_join_agg,8,react,3,False,8,repeated_action,0,96.91,ReAct
db_filter_summarize,8,react,3,False,6,repeated_action,0,71.67,ReAct
fs_organize,8,react,4,False,8,other,0,105.56,ReAct
fs_nested,8,react,4,False,5,repeated_action,0,61.11,ReAct
fs_backup_clean,8,react,4,True,8,,0,96.25,ReAct
fs_dedup_archive,8,react,4,True,7,,0,85.11,ReAct
db_create_insert,8,react,4,False,8,repeated_action,0,95.29,ReAct
db_alter,8,react,4,True,7,,0,84.26,ReAct
db_join_agg,8,react,4,False,8,repeated_action,0,97.89,ReAct
