task_id,horizon,agent_type,attempt,success,steps_taken,failure_type,strategies_used,elapsed_s,label
fs_organize,3,react,0,False,3,repeated_action,0,1.5,ReAct
fs_organize,5,react,0,False,5,context_truncation,0,1.5,ReAct
fs_organize,7,react,0,False,7,circular_loop,0,1.5,ReAct
fs_organize,10,react,0,False,10,tool_misuse,0,1.5,ReAct
fs_nested,3,react,0,False,3,incorrect_reasoning,0,1.8,ReAct
fs_nested,5,react,0,False,5,repeated_action,0,1.8,ReAct
fs_nested,7,react,0,False,7,repeated_action,0,1.8,ReAct
fs_nested,10,react,0,False,10,repeated_action,0,1.8,ReAct
fs_backup_clean,3,react,0,False,3,repeated_action,0,2.1,ReAct
fs_backup_clean,5,react,0,False,5,repeated_action,0,2.1,ReAct
fs_backup_clean,7,react,0,False,7,repeated_action,0,2.1,ReAct
fs_backup_clean,10,react,0,False,10,repeated_action,0,2.1,ReAct
db_schema,3,react,0,False,3,repeated_action,0,2.4,ReAct
db_schema,5,react,0,False,5,repeated_action,0,2.4,ReAct
db_schema,7,react,0,False,7,repeated_action,0,2.4,ReAct
db_schema,10,react,0,False,10,repeated_action,0,2.4,ReAct
db_insert,3,react,0,False,3,repeated_action,0,2.7,ReAct
db_insert,5,react,0,False,5,repeated_action,0,2.7,ReAct
db_insert,7,react,0,False,7,repeated_action,0,2.7,ReAct
db_insert,10,react,0,False,10,repeated_action,0,2.7,ReAct
db_query,3,react,0,False,3,context_truncation,0,3.0,ReAct
db_query,5,react,0,False,5,context_truncation,0,3.0,ReAct
db_query,7,react,0,False,7,context_truncation,0,3.0,ReAct
db_query,10,react,0,False,10,context_truncation,0,3.0,ReAct
fs_organize,3,react,1,False,3,context_truncation,0,1.7,ReAct
fs_organize,5,react,1,False,5,context_truncation,0,1.7,ReAct
fs_organize,7,react,1,False,7,context_truncation,0,1.7,ReAct
fs_organize,10,react,1,False,10,context_truncation,0,1.7,ReAct
fs_nested,3,react,1,False,3,context_truncation,0,2.0,ReAct
fs_nested,5,react,1,False,5,circular_loop,0,2.0,ReAct
fs_nested,7,react,1,False,7,circular_loop,0,2.0,ReAct
fs_nested,10,react,1,False,10,circular_loop,0,2.0,ReAct
fs_backup_clean,3,react,1,False,3,circular_loop,0,2.3,ReAct
fs_backup_clean,5,react,1,False,5,circular_loop,0,2.3,ReAct
fs_backup_clean,7,react,1,False,7,circular_loop,0,2.3,ReAct
fs_backup_clean,10,react,1,False,10,tool_misuse,0,2.3,ReAct
db_schema,3,react,1,False,3,tool_misuse,0,2.6,ReAct
db_schema,5,react,1,False,5,tool_misuse,0,2.6,ReAct
db_schema,7,react,1,False,7,tool_misuse,0,2.6,ReAct
db_schema,10,react,1,False,10,incorrect_reasoning,0,2.6,ReAct
db_insert,3,react,1,False,3,incorrect_reasoning,0,2.9,ReAct
db_insert,5,react,1,True,2,,0,2.9,ReAct
db_insert,7,react,1,True,3,,0,2.9,ReAct
db_insert,10,react,1,True,5,,0,2.9,ReAct
db_query,3,react,1,True,1,,0,3.2,ReAct
db_query,5,react,1,True,2,,0,3.2,ReAct
db_query,7,react,1,True,3,,0,3.2,ReAct
db_query,10,react,1,True,5,,0,3.2,ReAct
fs_organize,3,react,2,True,1,,0,1.9,ReAct
fs_organize,5,react,2,True,2,,0,1.9,ReAct
fs_organize,7,react,2,True,3,,0,1.9,ReAct
fs_organize,10,react,2,True,5,,0,1.9,ReAct
fs_nested,3,react,2,True,1,,0,2.2,ReAct
fs_nested,5,react,2,True,2,,0,2.2,ReAct
fs_nested,7,react,2,True,3,,0,2.2,ReAct
fs_nested,10,react,2,True,5,,0,2.2,ReAct
fs_backup_clean,3,react,2,True,1,,0,2.5,ReAct
fs_backup_clean,5,react,2,True,2,,0,2.5,ReAct
fs_backup_clean,7,react,2,True,3,,0,2.5,ReAct
fs_backup_clean,10,react,2,True,5,,0,2.5,ReAct
db_schema,3,react,2,True,1,,0,2.8,ReAct
db_schema,5,react,2,True,2,,0,2.8,ReAct
db_schema,7,react,2,True,3,,0,2.8,ReAct
db_schema,10,react,2,True,5,,0,2.8,ReAct
db_insert,3,react,2,True,1,,0,3.1,ReAct
db_insert,5,react,2,True,2,,0,3.1,ReAct
db_insert,7,react,2,True,3,,0,3.1,ReAct
db_insert,10,react,2,True,5,,0,3.1,ReAct
db_query,3,react,2,True,1,,0,3.4,ReAct
db_query,5,react,2,True,2,,0,3.4,ReAct
db_query,7,react,2,True,3,,0,3.4,ReAct
db_query,10,react,2,True,5,,0,3.4,ReAct
fs_organize,3,plan_act,0,False,3,context_truncation,0,1.5,Plan-and-Act
fs_organize,5,plan_act,0,False,5,repeated_action,0,1.5,Plan-and-Act
fs_organize,7,plan_act,0,False,7,circular_loop,0,1.5,Plan-and-Act
fs_organize,10,plan_act,0,False,10,tool_misuse,0,1.5,Plan-and-Act
fs_nested,3,plan_act,0,False,3,incorrect_reasoning,0,1.8,Plan-and-Act
fs_nested,5,plan_act,0,False,5,context_truncation,0,1.8,Plan-and-Act
fs_nested,7,plan_act,0,False,7,context_truncation,0,1.8,Plan-and-Act
fs_nested,10,plan_act,0,False,10,context_truncation,0,1.8,Plan-and-Act
fs_backup_clean,3,plan_act,0,False,3,context_truncation,0,2.1,Plan-and-Act
fs_backup_clean,5,plan_act,0,False,5,context_truncation,0,2.1,Plan-and-Act
fs_backup_clean,7,plan_act,0,False,7,context_truncation,0,2.1,Plan-and-Act
fs_backup_clean,10,plan_act,0,False,10,context_truncation,0,2.1,Plan-and-Act
db_schema,3,plan_act,0,False,3,context_truncation,0,2.4,Plan-and-Act
db_schema,5,plan_act,0,False,5,context_truncation,0,2.4,Plan-and-Act
db_schema,7,plan_act,0,False,7,context_truncation,0,2.4,Plan-and-Act
db_schema,10,plan_act,0,False,10,repeated_action,0,2.4,Plan-and-Act
db_insert,3,plan_act,0,False,3,repeated_action,0,2.7,Plan-and-Act
db_insert,5,plan_act,0,False,5,repeated_action,0,2.7,Plan-and-Act
db_insert,7,plan_act,0,False,7,repeated_action,0,2.7,Plan-and-Act
db_insert,10,plan_act,0,False,10,repeated_action,0,2.7,Plan-and-Act
db_query,3,plan_act,0,False,3,repeated_action,0,3.0,Plan-and-Act
db_query,5,plan_act,0,False,5,repeated_action,0,3.0,Plan-and-Act
db_query,7,plan_act,0,False,7,repeated_action,0,3.0,Plan-and-Act
db_query,10,plan_act,0,False,10,circular_loop,0,3.0,Plan-and-Act
fs_organize,3,plan_act,1,False,3,circular_loop,0,1.7,Plan-and-Act
